titulo,link
Larissa Fonseca,https://jovempan.com.br/opiniao-jovem-pan/comentaristas/larissa-fonseca
Incêndio atinge telhado do Velódromo no Parque Olímpico; veja vídeo,https://jovempan.com.br/noticias/brasil/incendio-atinge-telhado-do-velodromo-no-parque-olimpico.html
Ciclone extratropical atinge o Brasil nesta semana,https://jovempan.com.br/noticias/brasil/ciclone-extratropical-atinge-o-brasil-nesta-semana.html
Chegada de frente fria no litoral deve causar chuva e queda de temperatura em SP,https://jovempan.com.br/noticias/brasil/chegada-de-frente-fria-no-litoral-deve-causar-chuva-e-queda-de-temperatura-em-sp.html
Inmet emite alerta de tempestades para maior parte do Brasil até terça,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-tempestades-para-maior-parte-do-brasil-ate-terca.html
Incêndio atinge prédio histórico de instituto de educação no Paraná,https://jovempan.com.br/noticias/brasil/incendio-atinge-predio-historico-de-instituto-de-educacao-no-parana.html
Domingo de Páscoa terá calor e pancadas de chuva,https://jovempan.com.br/noticias/brasil/domingo-de-pascoa-tera-calor-e-pancadas-de-chuva.html
Incêndio de grandes proporções atinge distribuidora de tintas em Diadema,https://jovempan.com.br/noticias/brasil/incendio-de-grandes-proporcoes-atinge-distribuidora-de-tintas-em-diadema.html
Combate a incêndio em fábrica no Brás completa 24h; bombeiros atuam no rescaldo,https://jovempan.com.br/noticias/brasil/combate-a-incendio-em-fabrica-no-bras-completa-15h-nao-ha-vitimas.html
Incêndio de grandes proporções atinge fábrica no Brás; veja vídeos,https://jovempan.com.br/noticias/brasil/incendio-de-grandes-proporcoes-atinge-fabrica-no-bras-veja-videos.html
Chegada de ciclone e frente fria aumenta a chance de chuvas no país,https://jovempan.com.br/noticias/brasil/chegada-de-ciclone-e-frente-fria-aumenta-a-chance-de-chuvas-no-pais.html
Alarme de incêndio soa no STF por suspeita de vazamento de gás,https://jovempan.com.br/noticias/brasil/alarme-de-incendio-soa-no-stf-por-suspeita-de-vazamento-de-gas.html
"Chuva dá trégua em SP nesta sexta, mas Sudeste segue em alerta",https://jovempan.com.br/programas/jornal-da-manha/chuva-da-tregua-em-sp-nesta-sexta-mas-sudeste-segue-em-alerta.html
Cidade de SP entra em alerta vermelho para fortes chuvas e alagamentos,https://jovempan.com.br/noticias/brasil/cidade-de-sp-entra-em-alerta-vermelho-para-fortes-chuvas-e-alagamentos.html
São Paulo pode receber mais da metade da chuva prevista para março nos próximos quatro dias,https://jovempan.com.br/noticias/brasil/sao-paulo-pode-receber-mais-da-metade-da-chuva-prevista-para-marco-nos-proximos-dias.html
Defesa Civil emite alerta para chuvas intensas em São Paulo até quarta-feira,https://jovempan.com.br/noticias/brasil/defesa-civil-emite-alerta-para-chuvas-intensas-em-sao-paulo-para-ate-quarta-feira.html
"Incêndio de grandes proporções atinge galpão em Ramos, no Rio",https://jovempan.com.br/noticias/brasil/incendio-de-grandes-proporcoes-atinge-galpao-em-ramos-no-rio.html
Fortes chuvas destroem academia de crossfit na Zona Sul de SP,https://jovempan.com.br/programas/jornal-da-manha/fortes-chuvas-destroem-academia-de-crossfit-na-zona-sul-de-sp.html
"Forte chuva derruba parte de muro do Aeroporto de Congonhas, em São Paulo",https://jovempan.com.br/noticias/brasil/forte-chuva-derruba-parte-de-muro-do-aeroporto-de-congonhas-em-sao-paulo.html
Chuvas provocam duas mortes em SP neste sábado,https://jovempan.com.br/noticias/brasil/chuvas-provocam-morte-de-duas-pessoas-em-sp.html
Inmet emite alerta laranja para ventos e tempestades no Sul e Sudeste,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-laranja-para-ventos-e-tempestades-no-sul-e-sudeste.html
Forte chuva coloca regiões de São Paulo em estado de atenção para alagamentos,https://jovempan.com.br/noticias/brasil/forte-chuva-coloca-regioes-de-sao-paulo-em-estado-de-atencao-para-alagamentos.html
Cidade de SP entra em estado de atenção para alagamentos; Defesa Civil emite alerta,https://jovempan.com.br/noticias/brasil/cidade-de-sp-entra-em-estado-de-atencao-para-alagamentos-defesa-civil-emite-alerta.html
Inmet emite alertas laranja e amarelo para chuvas em SP e outros estados,https://jovempan.com.br/noticias/brasil/inmet-emite-alertas-laranja-e-amarelo-para-chuvas-em-sp-e-outros-estados.html
Sobe para 72 o número de mortos nas chuvas em Minas Gerais,https://jovempan.com.br/noticias/brasil/sobe-para-72-o-numero-de-mortos-nas-chuvas-em-minas-gerais.html
"Minas Gerais, Rio de Janeiro e outros estados seguem com alerta vermelho para chuvas",https://jovempan.com.br/noticias/brasil/minas-gerais-rio-de-janeiro-e-outros-estados-seguem-com-alerta-vermelho-para-chuvas.html
Incêndio atinge prédio da Faculdade de Direito da USP no centro de SP,https://jovempan.com.br/noticias/brasil/incendio-atinge-predio-da-faculdade-de-direito-da-usp-no-centro-de-sp.html
Ciclone subtropical deve atingir Minas Gerais no fim de semana,https://jovempan.com.br/noticias/brasil/ciclone-subtropical-deve-atingir-minas-gerais-no-fim-de-semana.html
Chuvas em Minas Gerais: Sobe para 64 número de mortos,https://jovempan.com.br/noticias/brasil/chuvas-minas-gerais-numero-de-mortos.html
Chuvas deixam desabrigados e cenário de incerteza em Juiz de Fora,https://jovempan.com.br/noticias/brasil/chuvas-deixam-desabrigados-e-cenario-de-incerteza-em-juiz-de-fora.html
Juiz de Fora volta a registrar chuvas fortes; veja vídeos,https://jovempan.com.br/noticias/brasil/juiz-de-fora-volta-a-registrar-chuvas-fortes-veja-videos.html
"Minas tem risco de novas chuvas nesta semana, diz Inmet",https://jovempan.com.br/noticias/brasil/minas-tem-risco-de-novas-chuvas-nesta-semana-diz-inmet.html
Chuvas em Minas Gerais: número de mortos sobe para 49,https://jovempan.com.br/noticias/brasil/chuvas-em-minas-gerais-numero-de-mortos-sobe-para-36.html
"Mortos, caixões em enxurrada, calamidade: chuva deixa rastro de destruição em MG",https://jovempan.com.br/noticias/brasil/mortos-caixoes-em-enxurrada-calamidade-chuva-deixa-rastro-de-destruicao-em-mg.html
Zema diz que o governo faz ‘todo o esforço possível’ para auxiliar vítimas das chuvas,https://jovempan.com.br/noticias/brasil/zema-diz-que-o-governo-faz-todo-o-esforco-possivel-para-auxiliar-vitimas-das-chuvas.html
Prefeita de Juiz de Fora faz alerta para ‘novos eventos críticos’ em relação às chuvas,https://jovempan.com.br/noticias/brasil/prefeita-de-juiz-de-fora-faz-alerta-para-novos-eventos-criticos-em-relacao-as-chuvas.html
"Entenda o que é ‘supercélula’, fenômeno que causou chuva extrema em MG",https://jovempan.com.br/noticias/brasil/entenda-o-que-e-supercelula-fenomeno-que-causou-chuva-extrema-em-mg.html
Tempestade deixa mais de 300 pessoas desabrigadas no litoral de São Paulo,https://jovempan.com.br/noticias/brasil/chuvas-litoral-sao-paulo.html
Chuvas deixam ao menos 30 mortos em Minas Gerais; Juiz de Fora decreta calamidade,https://jovempan.com.br/noticias/brasil/chuvas-deixam-mortes-na-zona-da-mata-juiz-de-fora-decreta-estado-de-calamidade.html
Incêndio atinge sede do Ministério Público no Rio de Janeiro,https://jovempan.com.br/noticias/brasil/incendio-atinge-sede-do-ministerio-publico-no-rio-de-janeiro.html
Ubatuba decreta situação de emergência após chuvas no fim de semana,https://jovempan.com.br/noticias/brasil/ubatuba-decreta-situacao-de-emergencia-apos-chuvas-no-fim-de-semana.html
Defesa Civil instala gabinete de crise para enfrentar chuvas no litoral de SP,https://jovempan.com.br/noticias/brasil/defesa-civil-instala-gabinete-de-crise-para-enfrentar-chuvas-no-litoral-de-sp.html
Chuvas causam interdição de estradas rumo ao litoral norte de São Paulo,https://jovempan.com.br/noticias/brasil/chuvas-causam-interdicao-de-estradas-rumo-ao-litoral-norte-de-sao-paulo.html
Naufrágio provocado por chuva forte deixa dois mortos em Ubatuba,https://jovempan.com.br/noticias/brasil/naufragio-provocado-por-chuva-forte-deixa-dois-mortos-em-ubatuba.html
Incêndio em comunidade da Brasilândia deixa duas pessoas feridas em SP,https://jovempan.com.br/noticias/brasil/incendio-em-comunidade-da-brasilandia-deixa-duas-pessoas-feridas-em-sp.html
Frente fria coloca estado de SP em alerta para chuvas fortes e risco de alagamentos,https://jovempan.com.br/noticias/brasil/frente-fria-coloca-estado-de-sp-em-alerta-para-chuvas-fortes-e-risco-de-alagamentos.html
Enchente em Guarulhos arrasta mulher e deixa pessoas ilhadas,https://jovempan.com.br/noticias/brasil/enchente-em-guarulhos-arrasta-mulher-e-deixa-pessoas-ilhadas.html
Incêndio destrói galpão na Grande São Paulo; veja vídeos,https://jovempan.com.br/noticias/brasil/incendio-destroi-galpao-na-grande-sao-paulo-veja-videos.html
Carnaval deve ter chuva e calor em grande parte do país,https://jovempan.com.br/noticias/brasil/carnaval-deve-ter-chuva-e-calor-em-grande-parte-do-pais.html
Defesa Civil coloca 45 cidades de SP em atenção para deslizamentos,https://jovempan.com.br/noticias/brasil/defesa-civil-coloca-45-cidades-de-sp-em-atencao-para-deslizamentos.html
Inmet emite alerta de chuvas intensas para todas as regiões do Brasil,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-chuvas-intensas-para-todas-as-regioes-do-brasil.html
Defesa Civil de SP mobiliza gabinete de crise após tempestades no estado,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-mobiliza-gabinete-de-crise-tempestades-no-estado.html
Defesa Civil de SP alerta para risco de chuvas ‘fortes e persistentes’,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-alerta-para-risco-de-chuvas-fortes-e-persistentes.html
Inmet divulga alerta de perigo sobre chuvas intensas na Paraíba,https://jovempan.com.br/noticias/brasil/inmet-divulga-alerta-de-perigo-sobre-chuvas-intensas-na-paraiba.html
Frente fria provoca chuva e queda de temperaturas em SP e em outros Estados,https://jovempan.com.br/noticias/brasil/frente-fria-provoca-chuva-e-queda-de-temperaturas-em-sp-e-em-outros-estados.html
Onda de calor atinge o Sul enquanto SP entra em alerta para tempestades,https://jovempan.com.br/noticias/brasil/onda-de-calor-atinge-o-sul-enquanto-sp-entra-em-alerta-para-tempestades.html
Defesa Civil de SP alerta para risco de tempestades nesta segunda-feira,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-alerta-para-risco-de-tempestades-nesta-segunda-feira.html
Morre um dos pacientes transferidos após incêndio no Instituto do Câncer de SP,https://jovempan.com.br/noticias/brasil/morre-um-dos-pacientes-transferidos-apos-incendio-no-instituto-do-cancer-de-sp.html
Incêndio atinge prédio do Icesp em São Paulo,https://jovempan.com.br/noticias/brasil/incendio-atinge-instituto-do-coracao-do-hospital-das-clinicas-em-sao-paulo.html
Ciclone extratropical intensifica chuvas em São Paulo nesta sexta-feira,https://jovempan.com.br/noticias/brasil/ciclone-extratropical-intensifica-chuvas-em-sao-paulo-nesta-sexta-feira.html
SP entra em alerta para tempestades e risco de alagamentos nesta quinta-feira,https://jovempan.com.br/noticias/brasil/sp-entra-em-alerta-para-tempestades-e-risco-de-alagamentos-nesta-quinta-feira.html
"Chuva em SP gera alagamento, deixa pessoas ilhadas e interrompe circulação de trens",https://jovempan.com.br/noticias/brasil/chuva-em-sp-gera-alagamento-deixa-pessoas-ilhadas-e-interrompe-circulacao-de-trens.html
Como escolher o melhor app para monitorar raios e chuvas no verão,https://jovempan.com.br/noticias/brasil/como-escolher-o-melhor-app-para-monitorar-raios-e-chuvas-no-verao.html
São Paulo entra em estado de atenção para chuva; 80 mil estão sem luz,https://jovempan.com.br/noticias/brasil/t-sao-paulo-entra-em-estado-de-atencao-para-chuva-80-mil-estao-sem-luz.html
"Após morte e transtornos no fim de semana, SP tem previsão de mais chuva nos próximos dias",https://jovempan.com.br/noticias/brasil/apos-morte-e-transtornos-no-fim-de-semana-sp-tem-previsao-de-mais-chuva-nos-proximos-dias.html
"Sete anos após tragédia de Brumadinho, Justiça prepara início das audiências para fevereiro",https://jovempan.com.br/noticias/brasil/sete-anos-apos-tragedia-de-brumadinho-justica-prepara-inicio-das-audiencias-para-fevereiro.html
Inmet emite alertas para chuvas no Brasil; saiba estados afetados,https://jovempan.com.br/noticias/brasil/inmet-emite-alertas-para-chuvas-no-brasil-saiba-estados-afetatos.html
Semana começa com risco de chuva extrema em várias partes do Brasil: ‘Grande perigo’,https://jovempan.com.br/noticias/brasil/semana-comeca-com-risco-de-chuva-extrema-em-varias-partes-do-brasil-grande-perigo.html
Chuvas fortes devem atingir SP novamente neste domingo,https://jovempan.com.br/noticias/brasil/chuvas-fortes-devem-atingir-sp-novamente-neste-domingo.html
Chuvas abaixo da média tendem a persistir e agravar seca em São Paulo,https://jovempan.com.br/noticias/brasil/chuvas-abaixo-da-media-tendem-a-persistir-e-agravar-seca-em-sao-paulo.html
Chuva em São Paulo provoca transbordamento de córregos e alagamentos,https://jovempan.com.br/noticias/brasil/chuva-em-sao-paulo-provoca-transbordamento-de-corregos-e-alagamentos.html
Chuva deixa cidade de SP em estado de atenção para alagamentos,https://jovempan.com.br/noticias/brasil/chuva-deixa-cidade-de-sp-em-estado-de-atencao-para-alagamentos.html
Queda de árvore mata mulher e SP chega a dez mortes por causa das chuvas,https://jovempan.com.br/noticias/brasil/queda-de-arvore-mata-mulher-e-sp-chega-a-dez-mortes-por-causa-das-chuvas.html
São Paulo entra em estado de atenção após chuva intensa,https://jovempan.com.br/noticias/brasil/sao-paulo-entra-em-estado-de-atencao-apos-chuva-intensa.html
"São Paulo entra em estado de atenção após forte chuva, ventania e queda de granizo",https://jovempan.com.br/noticias/brasil/sao-paulo-entra-em-estado-de-atencao-apos-forte-chuva-ventania-e-queda-de-granizo.html
Calor e alta umidade favorecem pancadas de chuva isoladas em São Paulo nesta terça,https://jovempan.com.br/noticias/brasil/calor-e-alta-umidade-favorecem-pancadas-de-chuva-isoladas-em-sao-paulo-nesta-terca.html
Homem e bebê morrem em incêndio em apartamento na zona leste de SP,https://jovempan.com.br/noticias/brasil/homem-e-bebe-morrem-em-incendio-em-apartamento-na-zona-leste-de-sp.html
Inmet emite alerta amarelo para temporais e chuvas intensas em diversas regiões do país,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-amarelo-para-temporais-e-chuvas-intensas-em-diversas-regioes-do-pais.html
Primeiro ciclone de 2026 atinge centro-sul do país; leia estados afetados,https://jovempan.com.br/noticias/brasil/primeiro-ciclone-de-2026-atinge-centro-sul-do-pais-leia-estados-afetados.html
Defesa Civil alerta para chegada de frente fria e chuva isolada em SP no fim de semana,https://jovempan.com.br/noticias/brasil/defesa-civil-alerta-para-chegada-de-frente-fria-e-chuva-isolada-em-sp-no-fim-de-semana.html
Chuva em SP provoca transbordamento de córregos e deixa toda a cidade em estado de atenção,https://jovempan.com.br/noticias/brasil/chuva-em-sp-provoca-transbordamento-de-corregos-e-deixa-toda-a-cidade-em-estado-de-atencao.html
Chuva perde intensidade em São Paulo nesta terça-feira,https://jovempan.com.br/noticias/brasil/chuva-perde-intensidade-em-sao-paulo-nesta-terca-feira.html
Árvore que caiu no Ibirapuera pode ter tido raízes afetadas por ciclone,https://jovempan.com.br/noticias/brasil/arvore-que-caiu-no-ibirapuera-pode-ter-tido-raizes-afetadas-por-ciclone.html
Calor e chuvas; veja a previsão do tempo para a 1ª semana útil do ano?,https://jovempan.com.br/noticias/brasil/calor-e-chuvas-veja-a-previsao-do-tempo-para-a-1a-semana-util-do-ano.html
Chuvas no litoral paulista provocam interdição da Serra Mogi-Bertioga,https://jovempan.com.br/noticias/brasil/chuvas-no-litoral-paulista-provocam-interdicao-da-serra-mogi-bertioga.html
Calor e chuvas: veja a previsão do tempo em SP e no resto do Brasil neste 1º de janeiro,https://jovempan.com.br/noticias/brasil/calor-e-chuvas-veja-a-previsao-do-tempo-em-sp-e-no-resto-do-brasil-neste-1o-de-janeiro.html
Defesa Civil de SP prevê fim da onda de calor e alerta para chuvas fortes no começo de 2026,https://jovempan.com.br/noticias/brasil/defesa-civil-de-sp-preve-fim-da-onda-de-calor-e-alerta-para-chuvas-fortes-no-comeco-de-2026.html
São Paulo emite alerta para tempestade nesta terça-feira,https://jovempan.com.br/noticias/brasil/sao-paulo-emite-alerta-para-tempestade-nesta-terca-feira.html
São Paulo entra em estado de atenção para alagamentos após temporal,https://jovempan.com.br/noticias/brasil/sao-paulo-entra-em-estado-de-atencao-para-alagamentos-apos-temporal.html
Inmet emite alerta para onda de calor tempestades nos últimos dias de 2025,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-para-onda-de-calor-tempestades-nos-ultimos-dias-de-2025.html
Chuva forte deixa cidade de São Paulo em estado de atenção,https://jovempan.com.br/noticias/brasil/chuva-forte-deixa-cidade-de-sao-paulo-em-estado-de-atencao.html
Calorão ou chuva: veja a previsão do tempo para o réveillon no Brasil,https://jovempan.com.br/noticias/brasil/calorao-ou-chuva-veja-a-previsao-do-tempo-para-o-reveillon-no-brasil.html
Unidade do Einstein Hospital Israelita tem princípio de incêndio e remove pacientes do local,https://jovempan.com.br/noticias/brasil/unidade-do-einstein-hospital-israelita-tem-principio-de-incendio-e-remove-pacientes-do-local.html
Veja vídeos do incêndio em colégio histórico de Santa Maria (RS),https://jovempan.com.br/noticias/brasil/veja-videos-do-incendio-em-colegio-historico-de-santa-maria-rs.html
"Incêndio destrói Colégio Marista Santa Maria, no Rio Grande do Sul",https://jovempan.com.br/noticias/brasil/incendio-destroi-colegio-marista-santa-maria-no-rio-grande-do-sul.html
"Após recorde histórico para dezembro, sexta-feira em São Paulo terá máxima de 34ºC e chuva",https://jovempan.com.br/noticias/brasil/apos-recorde-historico-para-dezembro-sexta-feira-em-sao-paulo-tera-maxima-de-34oc-e-chuva.html
Inmet emite alerta para onda de calor e tempestades no Brasil; veja regiões afetadas,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-para-onda-de-calor-e-tempestades-no-brasil-veja-regioes-afetadas.html
Veja quais regiões do Brasil devem registrar chuvas acima da média no verão,https://jovempan.com.br/noticias/brasil/veja-quais-regioes-do-brasil-devem-registrar-chuvas-acima-da-media-no-verao.html
Verão começa neste domingo com previsão de calor e menos chuva,https://jovempan.com.br/noticias/brasil/verao-comeca-neste-domingo-com-previsao-de-calor-e-menos-chuva.html
Chuvas em SP já causaram oito mortes desde o início de dezembro,https://jovempan.com.br/noticias/brasil/chuvas-em-sp-ja-causaram-oito-mortes-desde-o-inicio-de-dezembro.html
RJ mantém alerta de chuvas e retoma buscas por desaparecido em Petrópolis,https://jovempan.com.br/noticias/brasil/rj-mantem-alerta-de-chuvas-e-retoma-buscas-por-desaparecido-em-petropolis.html
Rio de Janeiro amanhece alagado; Castro aciona Comitê de Chuvas,https://jovempan.com.br/noticias/brasil/rio-de-janeiro-amanhece-alagado-castro-aciona-comite-de-chuvas.html
Chuva em São Paulo provoca cancelamentos e lota Aeroporto de Congonhas,https://jovempan.com.br/noticias/brasil/chuva-em-sao-paulo-provoca-cancelamentos-e-lota-aeroporto-de-congonhas.html
Chuvas deixam mais de 46 mil imóveis sem energia em SP,https://jovempan.com.br/noticias/brasil/chuvas-deixam-mais-de-46-mil-imoveis-sem-energia-em-sp.html
São Paulo chega a 7 mortos devido às chuvas desde o início do mês,https://jovempan.com.br/programas/jornal-da-manha/sao-paulo-chega-a-7-mortos-devido-as-chuvas-desde-o-inicio-do-mes.html
Inmet emite alerta de chuvas e ventanias no Sudeste,https://jovempan.com.br/noticias/brasil/inmet-emite-alerta-de-chuvas-fortes-em-minas-gerais.html
"Fortes chuvas em Minas Gerais causam estragos, alagamentos e abrem cratera",https://jovempan.com.br/programas/jornal-da-manha/fortes-chuvas-em-minas-gerais-causam-estragos-alagamentos-e-abrem-cratera.html
"Ciclone que causou apagão em SP foi ‘raro’ e não deve se repetir neste verão, dizem especialistas",https://jovempan.com.br/noticias/brasil/ciclone-que-causou-apagao-em-sp-foi-raro-e-nao-deve-se-repetir-neste-verao-dizem-especialistas.html
Advogada que salvou família em incêndio no PR acorda e se comunica com familiares,https://jovempan.com.br/noticias/brasil/advogada-que-salvou-familia-em-incendio-no-pr-acorda-e-se-comunica-com-familiares.html
Paraná tem alerta de temporais e microexplosões nesta sexta-feira; São Paulo segue com calor e chuva,https://jovempan.com.br/noticias/brasil/parana-tem-alerta-de-temporais-e-microexplosoes-nesta-sexta-feira-sao-paulo-segue-com-calor-e-chuva.html
689 mil imóveis seguem sem luz após passagem de ciclone em SP,https://jovempan.com.br/noticias/brasil/830-mil-imoveis-seguem-sem-luz-apos-passagem-de-ciclone-em-sp.html
"Grande SP tem 1,2 milhão de imóveis sem energia após passagem de ciclone",https://jovempan.com.br/noticias/brasil/grande-sp-tem-15-milhao-de-imoveis-sem-energia-apos-passagem-de-ciclone.html
Ciclone extratropical se afasta e tempo volta a firmar no Sul e Sudeste nesta quinta-feira,https://jovempan.com.br/programas/jornal-da-manha/ciclone-extratropical-se-afasta-e-tempo-volta-a-firmar-no-sul-e-sudeste-nesta-quinta-feira.html
Ciclone avança e traz mais chuva para SP,https://jovempan.com.br/programas/jornal-da-manha/ciclone-avanca-e-traz-mais-chuva-para-sp.html
São Paulo bate recorde de congestionamento com greve de ônibus e chuva,https://jovempan.com.br/noticias/brasil/sao-paulo-bate-recorde-de-congestionamento-com-greve-de-onibus-e-chuva.html
